Use_Case_ID,Department,Use_Case,Business_Value_1_5,Feasibility_1_5,Data_Readiness_1_5,Ease_of_Implementation_1_5,Risk_Advantage_1_5,ROI_Ratio,ROI_Score_1_5,Priority_Score_0_100,Priority_Tier,Quick_Win,Recommended_Phase
AI-01,Finance,Invoice Processing Automation,5,5,5,4,4,3.25,4,93.0,High,Yes,Phase 1 - Quick Wins
AI-02,Finance,Financial Close Assistant,4,4,4,3,3,2.0,3,73.0,Medium,No,Phase 3 - Strategic / Later
AI-03,Finance,Cash Flow Forecasting,4,3,4,2,3,1.57,2,64.0,Low,No,Phase 3 - Strategic / Later
AI-04,HR,Employee Knowledge Assistant,4,5,4,4,3,2.67,3,80.0,High,Yes,Phase 1 - Quick Wins
AI-05,HR,CV Screening Support,3,4,3,4,2,2.25,3,65.0,Medium,No,Phase 3 - Strategic / Later
AI-06,HR,Training Recommendation Engine,3,4,3,3,3,1.45,1,60.0,Low,No,Phase 3 - Strategic / Later
AI-07,Procurement,Contract Review & Clause Extraction,4,4,4,3,3,2.13,3,73.0,Medium,No,Phase 3 - Strategic / Later
AI-08,Procurement,Spend Classification & Supplier Insights,4,5,5,4,4,3.17,4,87.0,High,Yes,Phase 1 - Quick Wins
AI-09,Procurement,Supplier Risk Monitoring,5,3,3,2,2,1.6,2,65.0,Medium,No,Phase 3 - Strategic / Later
AI-10,Customer Service,Support Copilot,5,5,4,3,3,2.73,3,83.0,High,Yes,Phase 1 - Quick Wins
AI-11,Customer Service,Ticket Triage & Routing,4,5,5,4,4,3.4,4,87.0,High,Yes,Phase 1 - Quick Wins
AI-12,Customer Service,Voice of Customer Summarization,4,5,4,4,4,3.25,4,84.0,High,Yes,Phase 1 - Quick Wins
AI-13,Supply Chain,Demand Forecasting,5,4,5,2,3,2.11,3,79.0,Medium,No,Phase 2 - Scale
AI-14,Supply Chain,Inventory Replenishment Recommendation,5,4,4,2,3,2.0,3,76.0,Medium,No,Phase 2 - Scale
AI-15,Supply Chain,Logistics Delay Prediction,4,3,3,2,3,1.62,2,61.0,Low,No,Phase 3 - Strategic / Later
AI-16,Sales,Lead Prioritization,4,5,4,4,3,2.86,3,80.0,High,Yes,Phase 1 - Quick Wins
AI-17,Sales,Proposal Drafting Assistant,3,5,4,4,4,3.14,4,78.0,Medium,No,Phase 2 - Scale
AI-18,Sales,Customer Churn Prediction,4,3,3,2,3,1.64,2,61.0,Low,No,Phase 3 - Strategic / Later
AI-19,Operations,Predictive Maintenance,5,3,4,1,3,1.73,2,67.0,Medium,No,Phase 3 - Strategic / Later
AI-20,Operations,Visual Quality Inspection,5,3,3,1,3,1.56,2,64.0,Low,No,Phase 3 - Strategic / Later
AI-21,Operations,Shift Handover Summarization,3,5,4,4,4,3.0,4,78.0,Medium,No,Phase 2 - Scale
AI-22,IT,Internal IT Helpdesk Assistant,4,5,5,4,4,3.33,4,87.0,High,Yes,Phase 1 - Quick Wins
AI-23,IT,Incident Root Cause Assistant,4,4,4,3,3,2.33,3,73.0,Medium,No,Phase 3 - Strategic / Later
AI-24,IT,Secure Enterprise Search / RAG,5,4,4,2,2,1.87,2,72.0,Medium,No,Phase 3 - Strategic / Later
