Use_Case_ID,Department,Use_Case,Business_Problem,AI_Approach,Business_Value_1_5,Feasibility_1_5,Data_Readiness_1_5,Implementation_Effort_1_5,Risk_1_5,Estimated_Annual_Value_kEUR,Estimated_Implementation_Cost_kEUR,Time_to_Implement_Months,Primary_Stakeholders,Student_Notes
AI-01,Finance,Invoice Processing Automation,"Finance teams manually read supplier invoices, enter fields and match purchase orders.",Document AI + workflow automation,5,5,5,2,2,260,80,3,Finance AP; Procurement; IT,Good quick-win candidate because the process is repetitive and structured.
AI-02,Finance,Financial Close Assistant,"Month-end close requires repeated checks, reconciliations and explanation of variances.",GenAI assistant + rule-based checks,4,4,4,3,3,180,90,4,Finance Controlling; Accounting; IT,Human review remains required for accounting decisions.
AI-03,Finance,Cash Flow Forecasting,"Cash forecasts depend on manual consolidation of payment, sales and purchasing data.",Machine learning forecasting,4,3,4,4,3,220,140,6,Treasury; Finance; Data Team,"Value is meaningful, but model monitoring and data integration add complexity."
AI-04,HR,Employee Knowledge Assistant,"Employees spend time searching policies, onboarding material and internal process documentation.",Enterprise search / RAG assistant,4,5,4,2,3,120,45,2,HR; IT; Legal,Use only approved internal knowledge sources and access controls.
AI-05,HR,CV Screening Support,Recruiters manually review large numbers of applications against role requirements.,NLP-assisted screening support,3,4,3,2,4,90,40,2,HR Recruiting; Legal; Data Protection,"Higher fairness and bias risk means the tool should support, not replace, recruiter decisions."
AI-06,HR,Training Recommendation Engine,Employees receive broad training suggestions that are not always linked to role or skill gaps.,Recommendation model,3,4,3,3,3,80,55,3,HR Learning; Department Managers,Useful but lower direct business value than process automation opportunities.
AI-07,Procurement,Contract Review & Clause Extraction,"Buyers spend time locating clauses, renewal dates and commercial terms in supplier contracts.",Document AI + GenAI extraction,4,4,4,3,3,160,75,4,Procurement; Legal; IT,"Outputs should be treated as review support, not legal advice."
AI-08,Procurement,Spend Classification & Supplier Insights,Spend data contains inconsistent categories and requires manual analysis before sourcing decisions.,ML classification + analytics,4,5,5,2,2,190,60,3,Procurement; Finance; Data Team,Strong data readiness and a clear link to sourcing analysis.
AI-09,Procurement,Supplier Risk Monitoring,Supplier risk checks are periodic and may miss changes between review cycles.,Risk scoring + external signal monitoring,5,3,3,4,4,240,150,6,Procurement; Risk; Legal,"Potentially valuable, but requires reliable external data and governance."
AI-10,Customer Service,Support Copilot,Agents search multiple systems and knowledge articles while responding to customer requests.,GenAI response assistant + enterprise search,5,5,4,3,3,300,110,4,Customer Service; IT; Legal,Human agent remains responsible for the final response.
